㐀,キュウ おか
㜎,ケイ ゲイ
㜏,ウン
㜐,シュ ジュ
㜑,バ
㜒,ゲイ
㜓,トウ
㜖,ソウ ゾウ
㜗,サン ソウ シン
㜘,ショ シュ サ ジャ
㜙,ロク
㜚,シュク
㜛,ナン
㜜,ゴウ
㜝,ガン ゴン アン オン カン ゲン エン
㜞,サン ザ セン
㜠,サイ セ
㜡,ショウ シュ
㜢,リュ ル ロウ
㜣,セン ゼン ネン デン
㜤,デン ネン シン タン ドン テン
㜥,バイ メ
㜦,シン ジン
㜧,ケツ
㜩,オウ
㜪,シン
㜫,ビ
㜮,ラン
㜯,キ
㜰,ヤク シャク
㜱,シツ シチ
㜲,エイ ヨウ
㜳,カイ エ
㜴,ボウ モウ
㜵,ジョウ ニョウ
㜶,ハン
㜷,ビ ミ ベイ メイ セン
㜸,セツ ゲツ
㜹,ク グ オウ オ
㜺,サン
㜻,レン
㜼,テツ
㜽,シ こ
㜾,ガイ
㝀,コウ
㝁,ケン
㝂,セツ セチ セイ
㝃,ブン モン ハン ホン ベン メン バン マン
㝄,ジュン
㝅,コウ ドウ ク ヌ
㝇,ジュン
㝈,サン セン
㝊,シュ
㝋,リョウ
㝌,キュウ ク ユウ ユ
㝍,シャ うつす
㝎,テイ
㝏,カイ
㝐,ヨウ
㝑,ボウ
㝒,キョ
㝓,コウ
㝔,ヨウ
㝕,ネイ
㝖,ギ
㝗,ロウ
㝘,ゴウ グ
㝙,イン
㝚,エン
㝛,シュク やど
㝜,セキ シャク
㝝,リン
㝞,ア
㝟,ホウ つきすすむ ふれる おかす
㝠,メイ くらい
㝡,サイ
㝢,ウ のき
㝣,エイ ケツ ケチ エツ エチ
㝤,コウ ク
㝥,ベイ メイ ビ ミ
㝦,シュン
㝧,オン
㝩,コウ
㝪,テン チョウ
㝫,リュウ
㝬,コ
㝭,セイ ショウ
㝮,サイ セ
㝯,キョウ ギョウ
㝰,ベン メン
㝱,ム ゆめ
㝲,シン
㝴,ガン けずる
㝵,ガイ トク
㝶,トク
㝸,ヘン ベン かんむり
㝺,レン
㝻,キン ギン
㝼,ウ
㝾,サ
㝿,ハ あしなえ
㞀,カイ ケ
㞁,ヨウ ビュウ ミュウ
㞂,タイ テ
㞃,ケキ ギャク
㞄,アン オン オウ
㞅,ラ
㞆,キ イ
㞇,ワイ エ
㞈,ハチ ハツ
㞉,サツ サチ
㞊,シュツ
㞋,ショク シキ デン ネン
㞌,ヨウ
㞍,コウ しり
㞏,チュウ ジュウ キョウ ギョウ
㞐,キョ
㞑,ビ
㞒,カイ ケ キ
㞓,キ ケイ
㞕,セツ
㞖,シ
㞗,キュウ グ
㞘,トク
㞙,ニョウ
㞚,ショウ ソウ
㞛,キ
㞜,タイ テ サイ セ カ ゲ タ
㞟,テン テイ チョウ
㞡,テン
㞢,シ
㞣,フン ブン
㞤,ギン ゴン
㞥,シン ジン
㞦,キ
㞧,カイ
㞨,シ
㞩,ラン
㞪,ドウ ノウ
㞫,ソウ
㞬,キン
㞭,タイ
㞮,シュツ スイ デ シュチ でる だす
㞯,キ
㞰,キョ
㞱,ショウ シュ
㞲,ギュウ グ
㞳,トウ ツ
㞴,チ ジ
㞶,ビン
㞹,カ
㞺,ゾク
㞻,コウ ゴウ
㞼,ショウ ジョウ
㞽,ケツ カチ
㞾,ジ ニ
㞿,キ
㟀,レン
㟁,ガン きし
㟃,シ
㟄,ショウ ゾウ
㟅,ゴウ グ
㟇,サ ザ
㟈,キュウ グ
㟉,ロウ
㟊,フウ ブ
㟋,タイ デ
㟌,ボウ モウ
㟍,ロウ
㟎,タイ テ タ
㟏,カン コン
㟐,ボウ モウ
㟑,ホツ ボチ
㟒,キン
