㐀,キュウ おか
蕃,バン ハン ヒ ビ ボン しげる ふえる
蕄,ボウ
蕅,ゴウ グ
蕆,テン
蕇,テン
蕈,ジン シン キン タン テン コン ゴン ドン きのこ
蕉,ショウ
蕊,ズイ セン セツ ニ セチ しべ
蕋,ズイ しべ
蕌,ライ レ
蕍,ユ
蕎,キョウ ギョウ
蕏,チョ
蕐,カ はな
蕑,カン ケン ゲン
蕒,バイ メ
蕓,ウン
蕔,ホウ
蕕,ユ ユウ
蕖,キョ ゴ いも
蕗,ロ ふき
蕘,ジョウ ドウ ギョウ ニョウ きこり たきぎ
蕙,ケイ エ かおりぐさ
蕚,ガク うてな
蕛,テイ ダイ
蕜,ヒ ビ
蕝,セイ セチ セツ セ
蕞,サイ セツ サツ セ セチ サチ
蕟,ハツ ホチ ハイ
蕠,ジョ ニョ
蕡,フン ブン ハン ボン ハイ ベ ホン ヒ
蕢,カイ キ ケ ギ あじか つちくれ
蕣,シュン あさがお むくげ
蕤,スイ ズイ ニ ソウ ショウ かざり
蕥,ガ ゲ
蕦,シュ
蕧,フク
蕨,ケツ カチ わらび
蕩,トウ ドウ うごく
蕪,ブ ム かぶら かぶ あれる
蕫,トウ ツ ズ
蕬,シ
蕭,ショウ よもぎ
蕮,セキ シャク
蕯,ロウ ル リュウ
蕰,ウン オン つむ あつまる さかん
蕳,カン ケン ふじばかま
蕶,レイ リョウ
蕷,ヨ
蕸,カ ケ
蕹,ヨウ ユ
蕺,シュウ ショウ どくだみ
蕻,コウ グ
蕼,シ イ
蕽,ノウ ドウ ヌ
蕾,ライ レ つぼみ
蕿,ケン かや
薀,ウン オン つむ
薁,イク オウ にわうめ
薂,ケキ ギャク キョウ ギョウ
薃,コウ ゴウ
薄,ハク ヘキ ホ うすい うすめる うすまる うすらぐ うすれる せまる すすき
薅,コウ くさぎる
薆,アイ キ ケ
薇,ビ ミ ぜんまい
薈,ワイ カイ エ イ
薉,ワイ エ
薊,ケイ カイ ケツ ケ ケチ あざみ
薋,シ
薌,キョウ コウ
薍,ラン ガン
薎,ベツ
薏,イ ヨク オク オキ
薐,ロウ
薑,キョウ コウ はじかみ
薒,サン
薓,シン
薔,ソウ ショク ショウ シキ ゾウ みずたで
薕,レン
薖,カ
薗,エン オン
薘,タツ タチ
薙,テイ シ タイ ジ チ なぎ なぐ かる
薚,トウ チョウ ジョウ
薛,セツ セチ
薜,ヘイ ヘキ ヒャク ベイ ハク バク ハイ ベ
薝,セン タン
薞,ソン
薟,レン ケン コン ゲン ゴン カン
薠,ハン ボン
薡,テイ チョウ
薢,カイ ゲ ケ
薣,コ ク
薤,カイ ガイ ケイ ゲイ にら おおにら
薥,ショク ゾク チョク チク
薦,セン シン すすめる こも しきりに
薧,コウ
薨,コウ みまかる
薩,サツ サチ
薪,シン たきぎ
薫,クン かおる かおり
薬,ヤク シャク リャク くすり
薭,ひ ひえ
薮,ソウ やぶ
薯,ショ ジョ いも
薰,クン かおる
薱,タイ デ
薲,ヒン
薳,オン イ エン
薴,ドウ ニョウ
薵,チュウ ジュ
薶,マイ バイ リ メ ワ うめる
薷,ジュ ニュ ジュウ
薸,ヒョウ ビョウ
薹,ダイ タイ あぶらな とう
薺,セイ シ ザイ ジ なずな
薻,ソウ も
薼,チン
薽,シン ケン
薾,ジ ニ デイ ナイ
薿,ギ ギョク ゴク ゴキ
藀,ケイ ギョウ
藁,コウ わら
藂,ソウ ス ズ くさむら
藃,キョウ コウ カク
藄,キ
藅,ハツ ボチ
藆,ケン
藇,ショ ヨ ジョ
藈,ケイ ケ
藉,シャ ジャク セキ ジャ かりる ふむ しく
藊,ヘン ふじまめ
藋,チョウ タク テキ ジョウ ジョク ジャク
藌,ミツ
藍,ラン あい
藎,ジン シン かりやす
藏,ゾウ ソウ くら
藐,バク ビョウ ボウ マク ミョウ かろんじる とおい
藑,ケイ ギョウ
藒,ケツ ケチ コチ ケイ カツ カチ
藕,グ グウ ゴウ
藖,カン ゲン
藗,ソク
藘,リョ ロ
藙,ギ ゲ
藚,ショク ゾク
藛,シャ
藜,レイ ライ あかざ
藝,ゲイ わざ
藟,ルイ
藠,キョウ ギョウ
藡,テキ おぎ
藢,チ
藣,ヒ ビ
藤,トウ ドウ ふじ
藥,ヤク シャク リャク くすり
藦,バ マ
藧,カン ガン
藨,ヒョウ ホウ ビョウ キョウ
藩,ハン まがき
藪,シュ ス ソウ やぶ
藫,タン ドン イン
藬,タイ デ
藭,キュウ グ
藮,ショウ
藯,イ
藰,リュウ ル
藱,カイ エ
藳,コウ わら
藴,ウン オン つむ
藶,レキ リャク
藷,ショ ジョ チョ いも
藸,チョ ジョ タ
藹,アイ アツ アチ
藺,リン レン い
藻,ソウ も
藼,ケン
藽,シン
藾,ライ
藿,カク スイ まめのは
蘀,タク ジャク
蘁,ガク ゴ
蘂,ズイ しべ
蘃,ズイ
蘄,キ キン ギ ケ ゴン くつわ
蘅,コウ ギョウ
蘆,ロ リョ ラ あし
蘇,ソ ス ショ よみがえる
蘈,タイ
蘉,ボウ モウ
蘊,ウン オン つむ
蘋,ヒン ビン うきくさ
蘌,ギョ ゴ
蘍,クン かおり かおりぐさ かおる
蘎,キ
蘏,ケイ
蘐,ケン
蘑,バ マ
蘒,はぎ
蘓,ス ソ よみがえる
蘕,ホウ
蘖,ゲツ ひこばえ
蘗,ハク きはだ
蘘,ジョウ ニョウ ショウ ソウ ドウ みょうが
蘙,エイ
蘚,セン こけ
蘛,イク ユ
蘜,キク コク
蘞,レン ケン えぐい
蘟,イン オン
蘠,ゾウ ショウ
蘡,オウ ヨウ
蘢,ロウ ル リョウ リュ
蘣,トウ ツ
蘤,イ ハ バ カ ケ はな
蘥,ヤク
蘦,レイ リョウ
蘧,キョ ク グ ゴ まこもだけ
蘨,ヨウ ユウ ユ
蘩,ハン ボン しろよもぎ ふき
蘪,ビ ミ
蘫,ラン カン
蘬,キ
蘭,ラン らん あららぎ
蘮,ケイ
蘯,トウ うごく
蘰,かつら
蘱,ルイ ライ レ キ
蘲,ラ ルイ
蘳,カ ゲ キ
蘴,フウ フ ホウ シュウ シュ
蘵,ショク シキ
蘶,ギ ひこばえ
蘸,サン ひたす
蘹,カイ エ ウイ
蘺,リ
蘻,ケイ
蘼,ビ ミ
蘽,ルイ
蘾,カイ エ
蘿,ラ
虀,セイ サイ
虁,キ ギ もののけ
虂,ロ
虃,セン
虆,ルイ ラ
虇,ケン カン
虈,キョウ
虉,ゲキ ギャク ガク
虊,ラン
虋,ボン モン ビン ミン
虌,ヘツ ヘチ
虍,コ ク とらかんむり とらがしら
虎,コ ク とら
虐,ギャク しいたげる そこなう
虑,ヒツ ビチ
虒,シ テイ チ
虓,キョウ コウ ほえる
虔,ケン ゲン つつしむ
處,ショ キョ コ ところ
虖,ゴ コ ク ケイ キョウ
虗,キョ むなしい
虘,サ ザ ソ
虙,フク ブク
虚,キョ コ むなしい
虛,キョ コ むなしい
虜,リョ とりこ
虝,コ
虞,グ おそれ うれえる はかる
號,ゴウ コウ さけぶ
虠,コウ
虡,キョ ゴ
虢,カク キャク
虣,ホウ ボウ
虤,ガン ゲン ケン
虥,サン ゼン セン
虦,サン
虧,キ かける
虨,ハン ヘン ヒン
虩,ゲキ ケキ キャク サク シャク
虪,シュク イク
虫,チュウ ジュ キ むし
虬,キュウ アツ
虭,チョウ
虮,キ
虯,キュウ グ キョウ ギョウ みずち
虰,トウ ジョウ テイ チョウ
虱,シツ しらみ
虳,クツ クチ テキ チャク
虴,タク チャク サク シャク
虵,シャ ダ へび
虶,ウ
虷,カン ガン おかす ぼうふら
虸,シ
虹,コウ ゴウ グ にじ
虺,カイ キ ケ まむし
虻,ボウ あぶ
虼,コツ
虽,スイ
蚄,ホウ ボウ
蚅,ヤク アク
蚆,ハ
蚇,セキ シャク
蚈,ケン
蚉,ブン か
蚊,モン ブン か
蚋,ゼイ ぶよ
蚌,ボウ フ ビョウ ホウ どぶがい
蚍,ヒ ビ おおあり
蚎,エツ オチ イツ イチ
蚏,エツ
蚐,キン
蚑,キ ギ ゲ はう
蚒,トウ
蚓,イン コン キン ケン みみず
蚔,キ ギ チ ジ
蚕,サン テン ゾン かいこ みみず
蚖,ゲン ガン
蚗,エツ エチ ケツ ケチ
蚘,カイ ユウ ウ エ
蚙,キン ゴン ケン ゲン
蚚,キ ゲ カイ エ
蚛,チュウ ジュ
蚜,カ ケ
蚝,シ
蚞,ボク モク
蚟,オウ
蚠,フン ブン
蚡,フン ブン
蚢,コウ ゴウ
蚣,コウ ショウ ク シュウ シュ ソウ ス
蚤,ソウ ショウ のみ はやい
蚥,フ
蚦,ゼン ネン ザン ナン テン
蚧,カイ
蚨,フ ブ
蚩,シ チ
蚪,ト トウ ツ
蚫,ホウ あわび
蚭,ジ ニ
蚮,トク ドク タイ
蚯,キュウ ク
蚰,ユウ ユ チク ジク
蚱,サ サク シャ シャク
蚲,ヘイ ビョウ
蚳,チ ジ シ テイ タイ
蚴,ユウ ユ
蚵,カ ガ
蚶,カン ゴン
蚷,キョ ゴ
蚸,レキ リャク セキ シャク
蚹,フ ブ ホク ボク
蚺,ゼン
蚻,サツ セチ セツ
蚼,コウ ク グ
蚽,ヒ ビ
蚾,ハ ヒ ビ
蚿,ケン ゲン
蛀,シュ
蛁,チョウ
蛂,ヘツ ベチ フツ フチ ヘイ バイ ヒ テイ タイ
蛃,ヘイ ヒョウ ホウ ビョウ
蛄,コ ク
蛅,ゼン ネン セン
蛆,ソ ショ テツ うじ
蛇,ジャ ダ タ シャ チ イ ヤ ジ へび
蛈,テツ テチ テイ タイ
蛉,レイ リョウ
蛊,コ
蛋,タン ダン
蛌,カ
蛍,ケイ ほたる
蛎,レイ かき
蛐,キョウ コク
蛑,ボウ ム モウ
蛒,カク キャク ラク
蛓,シ
蛔,カイ エ
蛕,カイ エ
蛖,ボウ モウ ホウ モ
蛗,フウ ブ
蛘,ヨウ
蛙,ア ワイ カイ カ ケ エ ワ かえる
蛚,レツ レチ
蛛,チュ シュ
蛜,イ
蛝,カン ゲン ギン ゴン
蛞,カツ カチ セツ ゼチ
蛟,コウ キョウ みずち
蛠,レイ ライ
蛡,ヨク ヨキ ク
蛢,ヘイ
蛣,キツ ケツ ケイ ゲツ キチ ケチ
蛤,コウ ゴウ はまぐり
蛥,セツ ゼチ
蛦,イ テイ ダイ
蛧,ボウ モウ
蛨,バン ミャク
蛩,キョウ グ こおろぎ
蛪,ケツ ケチ エツ エチ ゲツ ゲチ
蛫,キ
蛬,キョウ ク グ きりぎりす
蛭,シツ シチ テツ デチ チツ テイ タイ ひる
蛮,バン えびす
蛯,えび
蛵,ケイ キョウ
蛶,レツ レチ ラツ ラチ
蛷,キュウ グ ク
蛸,ショウ ソウ たこ
蛹,ヨウ ユ さなぎ
蛺,キョウ リョウ ヨウ コウ ギョウ
蛻,ゼイ タイ タ セツ エツ セイ セ テ ぬけがら もぬける
蛼,シャ あしまとい
蛽,バイ
蛾,ガ ギ チ ゲ が
蛿,カン ゴン
蜀,ショク ゾク いもむし
蜁,セン ゼン
蜂,ホウ フ ブ はち
蜃,シン ジン
蜄,シン
蜅,フ ホ ブ
蜆,ケン ゲン しじみ
蜇,テツ テチ
蜈,ゴ
蜉,フ フウ ブ
蜊,リ あさり
蜋,ロウ リョウ
蜌,ヘイ ベイ ハ ベ ヒ
蜍,ショ ジョ ヨ
蜎,エン ガン ケン ゲン ふるう ぼうふら
蜏,ユウ シュウ ユ シュ
蜐,コウ キョウ
蜑,タン ダン あま
蜒,エン タン ヨウ オウ
蜓,テン テイ デン ジョウ
蜔,テン デン
蜕,ゼイ ぬけがら
蜘,チ くも
蜙,ショウ シュ ソウ ス シュウ
蜚,ヒ ビ ハイ ベ あぶらむし とぶ
蜛,キョ コ
蜜,ミツ ミチ ビツ みつ
蜝,キ ギ
蜞,キ ギ
蜟,イク
蜠,キン ゴン
蜡,ショ サ ジャ セキ シャク タ ダ
蜢,ボウ ミョウ
蜣,キョウ コウ キャク カク
蜤,シ セキ
蜥,セキ シャク
蜦,リン レイ ライ
蜧,レ ライ リン
蜨,チョウ ショウ ソウ ジョウ
蜩,チョウ ジョウ チュウ ジュ せみ ひぐらし
蜪,トウ ドウ
蜫,コン ゴン
蜬,カン ゴン
蜭,カン ゴン
蜮,ヨク コク カク イキ ワク キャク
蜯,ホウ ボウ ビョウ とぶがい
蜰,ヒ ビ
蜱,ヒ ビ ヒョウ ビョウ ヘイ
蜲,イ
蜳,トン テン イン ジュン
蜴,エキ ヤク セキ シャク
蜵,エン イン
蜶,ソツ ソチ
蜷,ケン ゲン にな
蜸,ケン
蜹,ゼイ ネ ゼツ ネチ エイ エ ぶよ
蜺,ゲイ ゲツ ゲチ にじ
蜻,セイ ショウ ジョウ
蜼,イ ルイ ユウ ヨ トウ ユイ カイ ケ
蜽,リョウ
蜾,カ ラ じがばち
蜿,エン ワン オン
蝀,トウ ツ
蝁,アク オ ウ
蝂,ハン
蝃,テイ セツ タツ タイ セチ タチ
蝄,モウ
蝅,サン テン かいこ
蝆,ビ ミ
蝇,ヨウ
蝉,セン ゼン テイ ダイ せみ
蝋,ロウ ろう
蝌,カ
蝍,ショク シツ セツ シキ シチ セチ
蝎,カツ ケツ さそり きくいむし
蝏,テイ ジョウ
蝐,バイ メ ボウ
蝑,ショ シャ
蝒,ベン メン
蝓,ユ ユウ
蝔,カイ
蝕,ショク ジキ リョク リキ ロウ ル むしばむ
蝖,ケン カン セン ゼン
蝗,コウ エイ オウ ギョウ ヨウ いなご
蝘,エン
蝙,ヘン
蝚,ジュウ ニュ ドウ ノウ
蝛,イ
蝜,フウ ブ フ
蝝,エン ケン
蝞,ビ ミ
蝟,イ はりねずみ
蝠,フク まむし
蝡,ゼン ネン ジュン ニン
蝢,ケツ ゲチ
蝣,ユウ ユ リュウ ル
蝤,シュウ ユウ ジュ ユ ソウ ゾウ
蝥,ボウ ミョウ ム ブ
蝦,カ ガ ゲ ケ えび
蝧,エイ ヨウ
蝨,シツ シチ しらみ
蝩,ジュ チョウ ショウ シュ
蝪,トウ ドウ
蝫,ショ
蝬,ソウ ス
蝭,シ ジ ダイ タイ テイ
蝮,フク ホク ボク まむし
蝯,エン オン さる
蝰,ケイ ケ
蝱,ボウ ミョウ あぶ
蝲,ラツ ラチ さそり
蝳,トク ドク タイ ダイ
蝴,コ ゴ
蝵,シュウ シュ
蝶,チョウ ジョウ ショウ ちょう
蝷,レキ リャク セキ シャク
蝸,カ カイ ケ ラ かたつむり
蝹,イン エン ウン オン オウ
蝺,ク ウ
蝻,ナン
蝼,ロウ ル
蝽,シュン
蝿,ヨウ はえ
螂,ロウ
螃,ホウ ボウ ヒョウ
螄,シ
螅,シ
螆,シ
螇,ケイ ゲイ
螈,ゲン ガン なつご
螉,オウ オ
螊,レン カン ゲン
螋,シュウ
螌,ハン バン
融,ユウ ユ とおる とける
螎,ユウ
螏,シツ ジチ
螐,オ ウ
螑,キュウ ク
螒,カン ガン
螓,シン ジン なつぜみ むぎわらぜみ
螔,イ シ
螕,ヘイ ヒ ビ
螖,ゲチ コツ コチ カツ カチ エツ オチ
螗,トウ ドウ
螘,ギ
螙,ト きくいむし
螚,ダイ ナイ ドク ノク ドウ ノウ ダ ナ
螛,カツ ガチ ゲチ
螜,コク ゴク
螝,カイ エ キ
螞,バ メ
螟,メイ ミョウ ずいむし
螠,イ ゆむし
螡,ブン
螢,ケイ ギョウ エイ ヨウ ほたる
螣,トウ トク ドウ チン ジン
螤,ユ
螥,ソウ
螧,えび
螩,さなだむし
螪,ショウ
螫,セキ シャク カク シャ さす
螬,ソウ ゾウ シュウ ジュ
螭,チ みずち
螮,テイ タイ
螯,ゴウ はさみ
螰,ロク
螱,イ
螲,チツ チチ テツ テチ
螳,トウ ドウ
螴,チン ジン
螵,ヒョウ ビョウ
螶,キョ ゴ
螷,ヒ ビ ハイ バイ ホウ ビョウ
螸,ユ ヨク
螹,セン ゼン サン ザン
螺,ラ にし
螻,ロウ ル けら
螼,キン コン
螽,シュウ いなご
螾,イン
螿,ソウ ショウ
蟀,シュツ シュチ
蟁,ブン
蟂,コウ
蟃,バン マン
蟄,チツ チュウ シュウ ジュウ かくれる
蟅,シャ セキ シャク チャク
蟆,バ マ メ バク マク ひき
蟇,マ バ ひき
蟈,カク ヨク コク キャク イキ ワク
蟉,リュウ キュウ リョウ ユウ
蟊,ボウ ミョウ ム マ モ
蟋,シツ シチ
蟌,ソウ ス シ
蟍,リ
蟎,ダニ だに
蟒,ボウ モウ ミョウ うわばみ おろち
蟓,ショウ ゾウ ヨウ
蟔,ボク モク
蟕,シ スイ
蟖,シ
蟗,シュウ シュ
蟘,トク ドク
蟙,ショク シキ
蟚,ハウ ビョウ
蟛,ホウ
蟜,キョウ ギョウ
蟝,キョ ゴ
蟞,ヘツ ベチ
蟟,リョウ
蟠,ハン バン ボン ハ バ わだかまる わらじむし
蟡,キ イ
蟢,キ
蟣,キ ケ ゲ しらみ ひる
蟤,セン ゼン
蟥,コウ オウ
蟦,ヒ ビ ホン フン ブン すくもむし
蟧,ロウ リョウ
蟨,ケツ カチ ケイ ケ
蟩,ケツ カチ
蟪,ケイ エ
蟫,シン タン イン ドン ジン しみ
蟬,セン ゼン ダイ テイ せみ つづく
蟭,ショウ シュ シュウ
蟮,セン ゼン
蟯,ギョウ ジョウ ヨウ ニョウ
蟰,シュク ショウ
蟱,ボウ ム ブ
蟲,チュウ ジュ トウ ズ むし
蟳,ジン
蟴,シ
蟵,チュ かや
蟶,テイ チョウ まて
蟷,トウ
蟸,レイ
蟹,カイ ゲ かに
蟺,セン ゼン タン ダン タ ダ
蟻,ギ ガ あり
蟼,ケイ キョウ カ ケ
蟽,タツ
蟾,セン
蟿,ケイ キ
蠀,シ ショク シキ
蠁,キョウ コウ さし にしどち
蠂,チョウ ショウ
蠃,カ ラ にし にな
蠄,キン ゴン
蠅,ヨウ はえ
蠆,タイ タツ タチ チ ジ テ さそり
蠇,レイ かき
蠈,ソク ゾク
蠉,ケン ゲン
蠊,レン
蠋,ショク ゾク チョク ジク あおむし けむし いもむし
蠌,ジャク タク ダク
蠍,カツ ケツ コチ さそり
蠎,モウ ボウ うわばみ おろち
蠏,カイ かに
蠐,セイ シ ザイ ジ
蠑,エイ ヨウ
蠒,ケン まゆ
蠓,ボウ ム モウ みみず
蠔,ゴウ コウ かき
蠕,ゼン ジュ ジュン ネン ニュ ニン
蠖,カク ワク
蠗,タク ジョウ
蠘,セツ ゼチ
蠙,ヒン ヘン ベン ビン
蠚,カク チャク セキ シャク コク テツ テチ ジャク
蠛,ベツ
蠜,ハン ボン
蠝,ルイ
蠞,セツ ゼチ
蠟,ロウ
蠠,ビツ ミチ ビン ミン
蠡,レイ リ ライ ラ にな ひさご
蠢,シュン うごめく
蠣,レイ ライ かき
蠥,ゲツ ゲチ
蠦,ロ
蠧,ト きくいむし
蠨,ショウ シュク
蠩,ショ
蠪,ロウ ル リョウ リュ
蠫,リ
蠬,リョウ
蠭,ホウ はち
蠮,エツ エチ
蠯,ホウ ビョウ ヘイ ハイ バイ ヒ ビ
蠰,ショウ ソウ ジョウ ニョウ ドウ ノウ
蠱,コ ヤ ク
蠲,ケイ ケン ケ きよい のぞく
蠳,エイ
蠵,ケイ イ ゲ キ
蠶,サン ザン かいこ
蠷,ク グ
蠸,ケン ゲン カン
蠹,ト ツ きくいむし
蠺,サン
蠻,バン マン えびす
蠼,キャク カク ク おおざる はさみむし
蠽,セツ セチ サツ サチ
蠾,ショク ソク
蠿,セツ セチ サツ
血,ケツ ケチ ち
衁,コウ
衂,ジク ニク はなぢ
衃,ハイ フ フウ ブ
衄,ジク ニク はなぢ
衅,キン ちぬる
衆,シュウ シュ おおい
衇,ミャク バク すじ
衈,ジ ニ
衉,カク キャク はく
衊,ベツ メチ バツ マチ ベン けがす
衋,キョク ケキ いたむ
行,コウ ギョウ アン ゴウ カン ガン いく ゆく おこなう まさに みち めぐる やる ゆくゆく
衍,エン あまり はびこる
衎,カン
衏,エン
衑,レイ リョウ
衒,ゲン ケン てらう
術,ジュツ スイ シュツ すべ みち わざ
衕,トウ ズ
衖,コウ ゴウ ちまた
街,ガイ カイ キ まち
衘,カン
衙,ガ ギョ ゴ ゲ
衚,コ ゴ
衛,エイ エ エツ まもり まもる
衜,ドウ みち
衝,ショウ シュ つく
衞,エイ エ エツ エチ まもる
衟,ドウ トウ みち
衠,シュン
衡,コウ ギョウ オウ はかり はかる
衢,ク グ みち
衣,イ エ ころも きぬ きる
衤,ころも
衦,カン
衧,ウ
表,ヒョウ おもて あらわす あらわれる しるし
衩,サ サイ セ シャ
衪,イ
衫,サン
衭,フ
衮,コン
衯,フン
衰,スイ サ セ シ サイ おとろえる
衱,キョウ コウ ゴウ しごき
衲,ドウ ノウ ゼイ ネ ころも
衳,ショウ シュ
衴,タン トン
衵,ジツ ニチ あこめ
衶,チョウ ジュ
衷,チュウ チュ うち まごころ
衸,カイ ガイ
衹,キ ギ シ テイ タイ
衺,シャ ジャ
衻,ゼン ネン デン セン
衼,シ
衽,ジン ニン おくみ
衾,キン コン ふすま
衿,キン コン ゴン ゲン ケン えり
袀,キン
袁,エン オン
袂,ベイ メイ ゼイ ネ ゲイ ケツ ケチ たもと そで
袃,タイ
袄,オウ
袈,ケ カ
袉,タ ダ
袊,レイ リョウ
袋,タイ ダイ ふくろ
袌,ホウ ボウ ヒョウ
袍,ホウ ボウ わたいれ ほう
袎,オウ ヨウ
袏,サ
袐,ヒツ ヒチ
袑,ショウ ジョウ
袒,タン ダン デン かたぬぐ
袓,ショ ジョ シャ
袔,カ ガ ケ
袕,シュツ ジュチ ケツ ゲチ
袖,シュウ ジュ そで
袗,シン
袘,イ ふき
袙,バツ ハ メチ あこめ
袚,ハツ ハチ ヒ フツ フチ ハイ バイ
袛,テイ タイ シ ギ
袜,バツ マチ
袝,フ ブ
袞,コン
袟,チツ ジチ
袠,チツ ジチ
袡,ゼン
袢,ハン ボン
袣,エイ イ
袤,モウ ボウ モ ム
袥,タク
袦,ダツ ナチ クツ グチ
袧,コウ ク
袨,ケン ゲン
袩,セン テン チョウ
袪,キョ コ あげる さる そで
被,ヒ ビ こうむる おおう きる かぶせる る らる
袬,イク
袰,ほろ
袱,フク ブク ふくさ
袲,イ シ ダ ナ
袳,シ ケイ タ
袴,コ はかま
袵,ジン おくみ
袶,コウ
袷,コウ キョウ あわせ
袸,セン ソン ゾン ゼン
袹,バク ミャク バツ メチ ハク
袺,ケツ ケチ カツ
袻,ジ ニ ゼン ネン
袼,ラク カク
袽,ジョ ニョ つめわた
袾,シュ チュ あかい
袿,ケイ ケ キ うちかけ うちぎ
裀,イン しとね みごろ
裁,サイ ザイ たつ さばく
裂,レツ レチ レイ さく さける
裃,かみしも
裄,ゆき
装,ソウ ショウ よそおう
裊,ジョウ ニョウ しなやか たおやか
裋,シュ ジュ タン
裌,コウ キョウ ギョウ あわせ
裍,コン
裎,テイ チョウ ジョウ はだか
裏,リ うら うち
裐,ケン
裑,シン みごろ
裒,ホウ ブ フウ ボウ あつめる
裓,カイ コク カツ ケチ
裔,エイ エツ エチ すそ すえ
裕,ユウ ユ ゆたか
裖,シン
裗,リュウ
裘,キュウ グ キク ゴク かわごろも
裙,クン グン も もすそ
裚,セイ サイ
裛,ユウ オウ ヨウ うるおす
補,ホ フ おぎなう
裝,ソウ ショウ よそおう
裞,セイ セ タイ テ エイ エ ゼイ タツ
裟,サ シャ
裠,クン もすそ
裡,リ うら
裧,セン タン
裨,ヒ ビ おぎなう たすける
裩,コン
裪,ドウ トウ
裫,エン
裬,リョウ
裭,チ
裮,ショウ
裯,トウ チュウ ジュウ チョウ ジュ チュ
裰,タツ タチ
裱,ヒョウ
裲,リョウ
裳,ショウ ジョウ も もすそ
裴,ハイ ベ ヒ ビ
裵,ハイ
裶,ヒ
裷,エン オン ケン コン カン
裸,ラ はだか
裹,カ つつむ
裺,エン アン オン
裻,トク ソク
裼,セキ テイ タイ シャク はだぬぐ
製,セイ たつ つくる
裾,キョ コ ゴ すそ
裿,キ イ
褀,キ
褁,セキ シャク
褂,カイ ケ うちかけ
褃,ケン
褄,つま
褅,テイ
褆,シ ジ テイ ダイ チ
複,フク フウ かさねる
褈,チョウ ジュ ショウ チュ
褉,ケツ ケチ
褊,ヘン ベン せまい
褋,ジョウ チョウ
褌,コン ふんどし
褍,タン タ トン ドン
褎,シュウ ジュ ユ ユウ そで
褏,ユウ そで
褐,カツ カチ
褑,エン オン
褒,ホウ ブ ほめる
褓,ホウ ホ むつき
褔,フク フウ さいわい
褕,ユ ヨウ トウ ズ
褖,タン
褗,エン
褘,イ キ
褙,ハイ ヘ はだぎ
褚,シャ チョ おおい たれぎぬ ふくろ わたいれ
褛,ル
褜,えな
褝,タン
褞,オン ウン ぬのこ
褟,トウ
褠,コウ ク
褡,トウ タ
褢,カイ エ
褣,ヨウ ユ
褤,エン
褥,ジョク ニク しとね
褦,ダイ ナイ
褧,ケイ キョウ ひとえ
褨,サ ジャ
褩,ハン
褪,タイ トン あせる ぬぐ
褫,チ ジ イ うばう
褬,ソウ
褭,ジョウ ニョウ たおやか
褮,エイ ヨウ ケイ ギョウ
褯,シャ ジャ セキ ジャク
褰,ケン コン あげる かかげる たたむ はかま
褱,カイ エ
褲,コ はかま
褳,レン
褵,リ おび においぶくろ
褶,シュウ チョウ ジョウ ジュウ かさねる
褷,シ
褸,ル ロウ
褹,ゲイ ダイ ナイ ナチ ネ
褺,チョウ ジョウ
褻,セツ ダイ ナイ ケ セチ けがれる なれる け
褼,セン
褽,イ ワイ エ
褾,ヒョウ
褿,ソウ ゾウ ショウ ジョウ
襀,セキ シャク
襁,キョウ コウ むつき
襂,シン サン
襃,ホウ ブ ほめる
襄,ジョウ ショウ ソウ ニョウ はらう
襅,ちはや
襆,ホク ボク ブク
襇,カン ケン
襈,セン ゼン ケン ゲン
襉,カン ケン
襊,サイ セ サツ サチ
襋,キョク コキ
襌,タン ひとえ
襍,ソウ ザツ まじる
襎,ハン ボン ハ
襏,ハツ ハチ フツ ブチ ヒ
襐,ショウ ゾウ トウ ドウ
襑,シン ジン タン トン
襒,ヘツ ベチ
襓,ジョウ ニョウ
襖,オウ あお ふすま
襗,タク ダク ジャク エキ ヤク
襘,カイ エ ケ
襙,ソウ
襚,スイ ズイ
襛,ジョウ ニュ ジュウ
襜,セン タン
襝,セン レン
襞,ヘキ ヒャク ひだ
襟,キン コン えり
襠,トウ まち
襡,ショク ゾク トウ タク チョク ツ トク ドク
襢,セン タン テン ダン ゼン デン あらわす かたぬぐ はだぬぐ
襣,ヒ ビ
襤,ラン ぼろ
襥,ボク
襦,ジュ ニュ シュ はだぎ
襩,ショク ゾク トク ドク ロウ ル
襪,ベツ バツ マチ
襫,セキ シャク
襬,ヒ ハイ
襭,ケツ ゲチ つまばさむ
襮,ハク ホク
襯,シン はだぎ
襰,ライ
襱,ロウ ル チョウ リョウ
襲,シュウ ジュウ おそう かさね かさねる
襳,セン シン サン
襴,ラン
襵,ショウ チョウ
襶,タイ
襷,たすき
襸,サン
襹,シ
襺,ケン
襻,ハン
襼,ゲイ
襽,ラン
襾,ア カ ケ かなめがしら
西,セイ サイ シ セン アク ヤク にし
覀,ア エ カ ケ
要,ヨウ いる かなめ こし むかえる もとめる
覂,ホウ フ ハン ブ ホン くつがえす とぼしい
覃,タン ドン エン シン
覅,キ
覆,フク おおう くつがえす くつがえる おおい
覇,ハ ハク はたがしら
覈,カク ケツ ギャク ゲチ ゴチ キョウ しらべる
覉,キ
覊,キ おもがい
見,ケン ゲン カン みる みえる みせる あらわれる まみえる
覌,カン みる
覍,ベン ヘン
覎,エン
規,キ ケイ エ ケキ キャク ただす のり ぶんまわし
覐,カク
